TrialNumber,ActualLocation,GuessedLocations,LocationCorrect,ActualCategory,GuessedCategory,CategoryCorrect
0,6,6,True,3,3,True
1,6,6,True,1,1,True
2,4,4,True,3,3,True
3,6,6,True,2,2,True
4,4,4,True,3,3,True
5,5,5,True,2,3,False
6,4,4,True,1,1,True
7,4,4,True,2,2,True
8,6,6,True,3,3,True
9,5,5,True,2,2,True
10,6,6,True,2,2,True
11,5,5,True,3,3,True
12,4,4,True,2,2,True
13,5,5,True,3,3,True
14,4,4,True,1,1,True
15,5,5,True,1,1,True
16,5,5,True,1,1,True
17,6,6,True,1,2,False
