TrialNumber,ActualLocation,GuessedLocations,LocationCorrect,ActualCategory,GuessedCategory,CategoryCorrect
0,6,6,True,1,1,True
1,4,4,True,3,3,True
2,6,6,True,3,3,True
3,5,5,True,3,2,False
4,5,5,True,1,1,True
5,4,4,True,3,3,True
6,5,5,True,2,3,False
7,4,4,True,1,1,True
8,6,6,True,1,1,True
9,5,5,True,1,1,True
10,6,6,True,2,2,True
11,6,6,True,2,2,True
12,5,5,True,2,3,False
13,4,4,True,2,3,False
14,4,4,True,2,3,False
15,5,5,True,3,3,True
16,4,4,True,1,1,True
17,6,6,True,3,2,False
