TrialNumber,ActualLocation,GuessedLocations,LocationCorrect,ActualCategory,GuessedCategory,CategoryCorrect
0,5,5,True,1,1,True
1,6,6,True,2,2,True
2,6,6,True,3,3,True
3,5,5,True,3,3,True
4,4,4,True,1,1,True
5,4,4,True,1,1,True
6,4,4,True,3,2,False
7,4,4,True,3,2,False
8,5,5,True,2,2,True
9,6,6,True,1,1,True
10,5,5,True,1,1,True
11,6,6,True,3,3,True
12,5,5,True,3,3,True
13,6,6,True,2,1,False
14,6,6,True,1,1,True
15,4,4,True,2,2,True
16,5,5,True,2,2,True
17,4,4,True,2,2,True
