TrialNumber,ActualLocation,GuessedLocations,LocationCorrect,ActualCategory,GuessedCategory,CategoryCorrect
0,4,4,True,2,2,True
1,6,6,True,1,1,True
2,5,5,True,2,3,False
3,4,4,True,2,2,True
4,5,5,True,2,2,True
5,6,6,True,2,2,True
6,4,4,True,3,3,True
7,6,6,True,2,2,True
8,6,6,True,3,3,True
9,6,6,True,1,1,True
10,5,5,True,3,3,True
11,5,5,True,3,3,True
12,5,5,True,1,1,True
13,4,4,True,1,1,True
14,4,4,True,3,3,True
15,6,6,True,3,2,False
16,4,4,True,1,1,True
17,5,5,True,1,1,True
