TrialNumber,ActualLocation,GuessedLocations,LocationCorrect,ActualCategory,GuessedCategory,CategoryCorrect
0,4,4,True,3,3,True
1,4,4,True,2,2,True
2,4,4,True,3,3,True
3,5,5,True,2,2,True
4,4,4,True,2,2,True
5,6,6,True,3,2,False
6,6,6,True,1,1,True
7,5,5,True,3,3,True
8,4,4,True,1,1,True
9,5,5,True,3,3,True
10,4,4,True,1,1,True
11,5,5,True,1,1,True
12,5,5,True,2,2,True
13,6,6,True,3,2,False
14,6,6,True,2,2,True
15,6,6,True,1,1,True
16,6,6,True,2,2,True
17,5,4,False,1,1,True
