TrialNumber,ActualLocation,GuessedLocations,LocationCorrect,ActualCategory,GuessedCategory,CategoryCorrect
0,5,5,True,2,3,False
1,4,4,True,1,2,False
2,5,5,True,1,1,True
3,5,5,True,2,3,False
4,4,4,True,1,1,True
5,5,5,True,1,1,True
6,4,4,True,3,3,True
7,6,6,True,3,3,True
8,5,5,True,3,3,True
9,6,6,True,3,2,False
10,5,5,True,3,3,True
11,6,6,True,1,1,True
12,6,6,True,2,2,True
13,4,4,True,3,3,True
14,6,6,True,2,2,True
15,4,4,True,2,2,True
16,6,6,True,1,1,True
17,4,4,True,2,2,True
