TrialNumber,ActualLocation,GuessedLocations,LocationCorrect,ActualCategory,GuessedCategory,CategoryCorrect
0,4,4,True,1,1,True
1,5,5,True,1,1,True
2,6,6,True,1,1,True
3,4,4,True,1,1,True
4,6,6,True,2,2,True
5,5,1,False,2,3,False
6,5,6,False,1,1,True
7,4,4,True,3,3,True
8,6,6,True,1,1,True
9,4,4,True,3,2,False
10,5,5,True,3,3,True
11,6,6,True,2,1,False
12,6,6,True,3,2,False
13,5,4,False,2,3,False
14,4,4,True,2,1,False
15,4,4,True,2,1,False
16,5,5,True,3,3,True
17,6,6,True,3,2,False
